2006-00000001,Jan  1 2006 01:27:00:000AM,Jan  1 2006 01:27:00:000AM,Jan  1 2006 01:27:00:000AM,829 SIMPSON ,,Public Contact,,Service Completed
2006-00000002,Jan  1 2006 05:26:00:000AM,Jan  1 2006 05:26:00:000AM,Jan  1 2006 05:26:00:000AM,2200 CAMPUS DR,,Security Building,,Service Completed
2006-00000003,Jan  1 2006 09:30:00:000AM,Jan  1 2006 09:30:00:000AM,Jan  1 2006 09:30:00:000AM,700 UNIVERSITY PL,,Property found,,Recovery
2006-00000003,Jan  1 2006 09:30:00:000AM,Jan  1 2006 09:30:00:000AM,Jan  1 2006 09:30:00:000AM,700 UNIVERSITY PL,,Property found,,Recovery
2006-00000005,Jan  1 2006 04:09:00:000PM,Jan  1 2006 04:05:00:000PM,Jan  1 2006 04:05:00:000PM,2251 SHERIDAN RD,,Security Building,,Service Completed
2006-00000006,Jan  2 2006 02:10:00:000PM,Dec 12 2005 07:00:00:000AM,Jan  2 2006 02:05:00:000PM,1927 ORRINGTON AVE,,Theft,Theft Over $300,Under investigation
2006-00000007,Jan  2 2006 02:34:00:000PM,Dec 23 2005 04:00:00:000PM,Jan  2 2006 12:00:00:000PM,2245 SHERIDAN RD,,Theft,Theft $300 and Under,Closed no leads
2006-00000008,Jan  2 2006 05:22:00:000PM,Dec  8 2005 06:30:00:000AM,Jan  2 2006 04:30:00:000PM,625 UNIVERSITY PL,,Theft,Theft Over $300,Inactivated case
2006-00000009,Jan  2 2006 05:42:00:000PM,Dec 10 2005 12:00:00:000PM,Jan  2 2006 03:00:00:000PM,625 UNIVERSITY PL,,Theft,Theft $300 and Under,Inactivated case
2006-00000010,Jan  2 2006 05:47:00:000PM,Dec 10 2005 12:00:00:000PM,Jan  2 2006 05:30:00:000PM,625 UNIVERSITY PL,,Theft,Theft $300 and Under,Inactivated case
2006-00000013,Jan  3 2006 01:29:00:000PM,Dec 22 2005 10:00:00:000AM,Dec 22 2005 12:00:00:000PM,2169 CAMPUS DR,,Theft,Credit Card Fraud,Closed no leads
2006-00000013,Jan  3 2006 01:29:00:000PM,Dec 22 2005 10:00:00:000AM,Dec 22 2005 12:00:00:000PM,2169 CAMPUS DR,,Theft,Theft $300 and Under,Closed no leads
2006-00000016,Jan  3 2006 08:12:00:000PM,Jan  3 2006 08:12:00:000PM,Jan  3 2006 08:12:00:000PM,1820 CHICAGO AVE,,Fire Call,,Service Completed
2006-00000017,Jan  3 2006 11:53:00:000PM,Jan  3 2006 11:53:00:000PM,Jan  3 2006 11:53:00:000PM,2247 SHERIDAN RD,,Fire Call,,Clear Referral
2006-00000020,Jan  4 2006 11:20:00:000AM,Jan  4 2006 10:50:00:000AM,Jan  4 2006 11:00:00:000AM,2200 CAMPUS DR,,Misc criminal offense,Unauthorized Use of Parking Places Reserved for Persons with Disabilities,Clear Y-Ticket
2006-00000024,Jan  4 2006 01:05:00:000PM,Jan  4 2006 12:00:00:000PM,Jan  4 2006 01:00:00:000PM,2133 SHERIDAN RD,,Theft,Theft Over $300,Closed no leads
2006-00000026,Jan  4 2006 03:26:00:000PM,Jan  4 2006 03:15:00:000PM,Jan  4 2006 03:26:00:000PM,711 ELGIN RD,,Theft,Theft $300 and Under,Service Completed
2006-00000027,Jan  5 2006 03:28:00:000AM,Jan  5 2006 03:28:00:000AM,Jan  5 2006 03:28:00:000AM, SHERIDAN RD,,Traffic Arrest,Disobeyed Traffic Control Signal,Clear Arrest
2006-00000027,Jan  5 2006 03:28:00:000AM,Jan  5 2006 03:28:00:000AM,Jan  5 2006 03:28:00:000AM, SHERIDAN RD,,Traffic Arrest,"Suspend, Revoked Driver's License",Clear Arrest
2006-00000032,Jan  5 2006 09:51:00:000AM,Jan  5 2006 08:55:00:000AM,Jan  5 2006 10:00:00:000AM,1847 CAMPUS DR,,Hit and Run,Hit and Run,Under investigation
2006-00000036,Jan  5 2006 12:52:00:000PM,Dec 10 2005 08:00:00:000AM,Jan  5 2006 11:30:00:000AM,1927 ORRINGTON AVE,,Burglary,Residential Burglary,Under investigation
2006-00000040,Jan  5 2006 02:50:00:000PM,Jan  5 2006 01:00:00:000PM,Jan  5 2006 03:00:00:000PM,1927 ORRINGTON AVE,,Suspicious Circumstances,,Unfounded
2006-00000041,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,1700 JUDSON AVE,,Traffic Arrest,Driving without lights when required-Headlights/Taillights none/Inoperable,Clear Arrest
2006-00000041,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,1700 JUDSON AVE,,Traffic Arrest,No Driver's License,Clear Arrest
2006-00000041,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,1700 JUDSON AVE,,Traffic Arrest,Under the Influence of Alcohol,Clear Arrest
2006-00000041,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,Jan  5 2006 08:20:00:000PM,1700 JUDSON AVE,,Traffic Arrest,Alcohol Concentration in Blood or Breath is 0.08 more,Clear Arrest
2006-00000043,Jan  6 2006 03:03:00:000AM,Jan  6 2006 03:03:00:000AM,Jan  6 2006 03:03:00:000AM,2220 CAMPUS DR,,Security Building,,Service Completed
2006-00000044,Jan  6 2006 04:52:00:000AM,Jan  6 2006 04:52:00:000AM,Jan  6 2006 04:52:00:000AM,2190 CAMPUS DR,,Security Building,,Service Completed
2006-00000046,Jan  6 2006 07:35:00:000AM,Jan  6 2006 07:30:00:000AM,Jan  6 2006 07:35:00:000AM,2000 SHERIDAN RD,,Property found,,Service Completed
2006-00000052,Jan  6 2006 09:55:00:000AM,Jan  6 2006 09:55:00:000AM,Jan  6 2006 09:55:00:000AM,2220 CAMPUS DR,,Damage property,Criminal Defacement,Closed no leads
2006-00000053,Jan  6 2006 10:15:00:000AM,Jan  6 2006 10:15:00:000AM,Jan  6 2006 10:15:00:000AM,2400 CAMPUS DR,,Suspicious Circumstances,,Under investigation
2006-00000055,Jan  6 2006 11:01:00:000AM,Jan  6 2006 10:30:00:000AM,Jan  6 2006 10:30:00:000AM,2220 CAMPUS DR,,Property Damage,,Clear other
2006-00000058,Jan  7 2006 01:46:00:000AM,Jan  7 2006 01:46:00:000AM,Jan  7 2006 02:15:00:000AM,584 LINCOLN ST,,Fire Call,,Clear C-Ticket
2006-00000059,Jan  7 2006 01:55:00:000AM,Jan  7 2006 01:55:00:000AM,Jan  7 2006 02:05:00:000AM,626 UNIVERSITY PL,,Drunkeness,,Service Completed
2006-00000060,Jan  7 2006 06:03:00:000AM,Jan  7 2006 06:03:00:000AM,Jan  7 2006 06:10:00:000AM,2120 CAMPUS DR,,Security Building,,Service Completed
2006-00000061,Jan  7 2006 10:00:00:000AM,Jan  2 2006 11:00:00:000AM,Jan  6 2006 11:00:00:000PM,1915 MAPLE AVE,,Burglary,Burglary,Under investigation
2006-00000064,Jan  9 2006 04:24:00:000AM,Jan  9 2006 04:24:00:000AM,Jan  9 2006 04:24:00:000AM,2145 SHERIDAN RD,,Security Building,,Service Completed
2006-00000068,Jan  9 2006 09:12:00:000AM,Jan  9 2006 09:12:00:000AM,Jan  9 2006 09:58:00:000AM,633 EMERSON ST,,Public Service,,Service Completed
2006-00000072,Jan  9 2006 01:18:00:000PM,Dec 17 2005 12:00:00:000AM,Dec 17 2005 11:59:00:000PM,2145 SHERIDAN RD,,Fraudulent activities,Credit Card Fraud,Under investigation
2006-00000073,Jan  9 2006 05:52:00:000PM,Jan  9 2006 10:00:00:000AM,Jan  9 2006 11:30:00:000AM,2145 SHERIDAN RD,,Theft,Theft Over $300,Closed no leads
2006-00000074,Jan 10 2006 01:09:00:000AM,Jan 10 2006 01:09:00:000AM,Jan 10 2006 01:09:00:000AM,1800 SHERMAN AVE,,Service to Other Agency,,Service Completed
2006-00000075,Jan 10 2006 08:45:00:000AM,Oct  1 2005 12:00:00:000AM,Jan 10 2006 08:45:00:000AM,60 ARTS CIRCLE DR,,Fraudulent activities,Fraud,Under investigation
2006-00000076,Jan 10 2006 10:13:00:000AM,Jan 10 2006 09:45:00:000AM,Jan 10 2006 09:45:00:000AM,1999 CAMPUS DR,,Theft,Retail Theft,Clear Referral
2006-00000077,Jan 10 2006 11:19:00:000AM,Jan 10 2006 11:19:00:000AM,Jan 10 2006 11:40:00:000AM,2205 TECH DR,,Public Service,,Service Completed
2006-00000079,Jan 10 2006 11:41:00:000AM,Jan 10 2006 11:30:00:000AM,Jan 10 2006 11:40:00:000AM,2001 SHERIDAN RD,,Theft,Theft Over $300,Closed no leads
2006-00000080,Jan 10 2006 02:17:00:000PM,Jan  4 2006 01:00:00:000PM,Jan  4 2006 01:10:00:000PM,1970 CAMPUS DR,,Theft,Theft Over $300,Closed no leads
2006-00000081,Jan 10 2006 03:07:00:000PM,Jan 10 2006 03:07:00:000PM,Jan 10 2006 03:07:00:000PM,2190 CAMPUS DR,,Fire Call,,Service Completed
2006-00000088,Jan 11 2006 12:21:00:000PM,Jan 10 2006 04:50:00:000PM,Jan 11 2006 08:50:00:000AM,1845 SHERIDAN RD,,Suspicious Circumstances,,Clear other
2006-00000090,Jan 11 2006 01:49:00:000PM,Jan  5 2006 09:00:00:000AM,Jan  5 2006 11:30:00:000AM,1870 CAMPUS DR,,Property Lost,,Clear other
2006-00000091,Jan 11 2006 04:15:00:000PM,Jan 11 2006 04:15:00:000PM,Jan 11 2006 04:15:00:000PM,600 LINCOLN ST,,Theft,Theft $300 and Under,Closed no leads
2006-00000093,Jan 11 2006 07:55:00:000PM,Jan 11 2006 07:55:00:000PM,Jan 11 2006 07:55:00:000PM,1820 CHICAGO AVE,,Fire Call,,Service Completed
2006-00000094,Jan 12 2006 01:31:00:000AM,Jan 12 2006 01:31:00:000AM,Jan 12 2006 01:31:00:000AM,1800 SHERMAN AVE,,Disorderly Conduct,,Service Completed
2006-00000095,Jan 12 2006 02:05:00:000AM,Jan 12 2006 02:05:00:000AM,Jan 12 2006 02:05:00:000AM,1865 SHERMAN AVE,,Suspicious Person(s),,Closed no leads
2006-00000096,Jan 12 2006 03:01:00:000AM,Jan 12 2006 03:01:00:000AM,Jan 12 2006 03:01:00:000AM,1820 CHICAGO AVE,,Suspicious Person(s),,Closed no leads
2006-00000103,Jan 13 2006 01:21:00:000AM,Jan 12 2006 06:00:00:000PM,Jan 13 2006 01:30:00:000AM,1915 MAPLE AVE,,Harassment,,Service Completed
2006-00000105,Jan 13 2006 09:06:00:000AM,Jan 13 2006 09:00:00:000AM,Jan 13 2006 09:00:00:000AM,809 FOSTER ST,,Service to Other Agency,,Service Completed
2006-00000106,Jan 13 2006 10:27:00:000AM,Jan 13 2006 10:27:00:000AM,Jan 13 2006 10:27:00:000AM,2331 SHERIDAN RD,,Property found,,Prop. held pending i.d. of owner
2006-00000110,Jan 13 2006 03:05:00:000PM,Jan 13 2006 02:10:00:000PM,Jan 13 2006 02:20:00:000PM,2233 TECH DR,,Theft,Theft $300 and Under,Under investigation
2006-00000111,Jan 13 2006 05:31:00:000PM,Jan 13 2006 05:31:00:000PM,Jan 13 2006 05:31:00:000PM,1999 CAMPUS DR,,Damage property,Criminal Damage to Property,Closed no leads
2006-00000112,Jan 13 2006 07:35:00:000PM,Jan 13 2006 07:35:00:000PM,Jan 13 2006 07:35:00:000PM,1927 ORRINGTON AVE,,Theft,Theft $300 and Under,Closed no leads
2006-00000114,Jan 13 2006 11:26:00:000PM,Jan 13 2006 11:26:00:000PM,Jan 13 2006 11:26:00:000PM,2221 RIDGE AVE,,Service to Other Agency,,Service Completed
2006-00000116,Jan 14 2006 01:58:00:000AM,Jan 14 2006 01:58:00:000AM,Jan 14 2006 01:58:00:000AM,2126 ORRINGTON AVE,,Service to Other Agency,,Service Completed
2006-00000117,Jan 14 2006 02:09:00:000AM,Jan 14 2006 12:30:00:000AM,Jan 14 2006 02:09:00:000AM,1819 HINMAN AVE,,Public Service,,Clear other
2006-00000118,Jan 14 2006 02:24:28:000AM,Jan 14 2006 02:24:00:000AM,Jan 14 2006 02:24:00:000AM,1454 ELMWOOD AVE,,Service to Other Agency,,Service Completed
2006-00000119,Jan 14 2006 02:24:28:000AM,Jan 14 2006 02:24:00:000AM,Jan 14 2006 03:40:00:000AM,1454 ELMWOOD AVE,,Service to Other Agency,,Service Completed
2006-00000120,Jan 14 2006 04:31:00:000AM,Jan 14 2006 04:31:00:000AM,Jan 14 2006 04:31:00:000AM,626 EMERSON ST,,Public Service,,Service Completed
2006-00000122,Jan 14 2006 12:49:00:000PM,Jan 14 2006 12:49:00:000PM,Jan 14 2006 12:49:00:000PM,1835 HINMAN AVE,,Battery,,Under investigation
2006-00000123,Jan 14 2006 10:03:00:000PM,Jan 14 2006 10:03:00:000PM,Jan 14 2006 10:03:00:000PM,1800 SHERIDAN RD,,Traffic Arrest,"Operation of Vehicle when Registration is Revoked, Cancelled or Suspended-$1000 or10%",Arrest by department
2006-00000123,Jan 14 2006 10:03:00:000PM,Jan 14 2006 10:03:00:000PM,Jan 14 2006 10:03:00:000PM,1800 SHERIDAN RD,,Traffic Arrest,Disobey Traffic Control Device,Arrest by department
2006-00000124,Jan 14 2006 10:32:00:000PM,Jan 14 2006 10:32:00:000PM,Jan 15 2006 01:00:00:000AM, SHERIDAN RD,,Traffic Arrest,Under the Influence of Alcohol,Clear Arrest
2006-00000124,Jan 14 2006 10:32:00:000PM,Jan 14 2006 10:32:00:000PM,Jan 15 2006 01:00:00:000AM, SHERIDAN RD,,Traffic Arrest,Improper Lane Usage-Laned Roadways,Clear Arrest
2006-00000125,Jan 15 2006 12:49:00:000AM,Jan 15 2006 12:49:00:000AM,Jan 15 2006 12:49:00:000AM,2313 SHERIDAN RD,,Drunkeness,,Service Completed
